Question,main,A,B,C,D,E,F,G,Answer
Question #116 Topic 1 ,"Office Documents (Word, Excel and PowerPoint) contain a code that allows tracking the MAC or unique identifier of the machine that created the document. What is that code called?",Globally unique ID ,Microsoft Virtual Machine Identifier ,Personal Application Protocol ,Individual ASCII string ,,,,Globally unique ID 
Question #117 Topic 1 ,"You have completed a forensic investigation case. You would like to destroy the data contained in various disks at the forensics lab due to sensitivity of the case.
How would you permanently erase the data on the hard disk?",Throw the hard disk into the fire ,Run the powerful magnets over the hard disk ,Format the hard disk multiple times using a low level disk utility ,Overwrite the contents of the hard disk with Junk data ,,,,Throw the hard disk into the fire 
Question #118 Topic 1 ,You have been asked to investigate after a user has reported a threatening e-mail they have received from an external source. Which of the following are you most interested in when trying to trace the source of the message?,The X509 Address ,The SMTP reply Address ,The E-mail Header ,The Host Domain Name ,,,,The E-mail Header 
Question #119 Topic 1 ,You are working as a Computer forensics investigator for a corporation on a computer abuse case. You discover evidence that shows the subject of your investigation is also embezzling money from the company. The company CEO and the corporate legal counsel advise you to contact law enforcement and provide them with the evidence that you have found. The law enforcement officer that responds requests that you put a network sniffer on your network and monitor all traffic to the subject's computer. You inform the officer that you will not be able to comply with that request because doing so would:,Violate your contract ,Cause network congestion ,Make you an agent of law enforcement ,Write information to the subject's hard drive ,,,,Make you an agent of law enforcement 
Question #120 Topic 1 ,"A law enforcement officer may only search for and seize criminal evidence with _______________________, which are facts or circumstances that would lead a reasonable person to believe a crime has been committed or is about to be committed, evidence of the specific crime exists and the evidence of the specific crime exists at the place to be searched.",Mere Suspicion ,A preponderance of the evidence ,Probable cause ,Beyond a reasonable doubt ,,,,Probable cause 
Question #121 Topic 1 ,"The police believe that Melvin Matthew has been obtaining unauthorized access to computers belonging to numerous computer software and computer operating systems manufacturers, cellular telephone manufacturers, Internet Service Providers and Educational Institutions. They also suspect that he has been stealing, copying and misappropriating proprietary computer software belonging to the several victim companies. What is preventing the police from breaking down the suspects door and searching his home and seizing all of his computer equipment if they have not yet obtained a warrant?",The Fourth Amendment ,The USA patriot Act ,The Good Samaritan Laws ,The Federal Rules of Evidence ,,,,The Fourth Amendment 
Question #122 Topic 1 ,"When cataloging digital evidence, the primary goal is to",Make bit-stream images of all hard drives ,Preserve evidence integrity ,Not remove the evidence from the scene ,Not allow the computer to be turned off ,,,,Preserve evidence integrity 
Question #123 Topic 1 ,"You are conducting an investigation of fraudulent claims in an insurance company that involves complex text searches through large numbers of documents.
Which of the following tools would allow you to quickly and efficiently search for a string within a file on the bitmap image of the target computer?",Stringsearch ,grep ,dir ,vim ,,,,grep 
Question #124 Topic 1 ,"As a CHFI professional, which of the following is the most important to your professional reputation?",Your Certifications ,"The correct, successful management of each and every case ",The free that you charge ,The friendship of local law enforcement officers ,,,,"The correct, successful management of each and every case "
Question #125 Topic 1 ,"In conducting a computer abuse investigation you become aware that the suspect of the investigation is using ABC Company as his Internet Service Provider
(ISP). You contact ISP and request that they provide you assistance with your investigation. What assistance can the ISP provide?",The ISP can investigate anyone using their service and can provide you with assistance ,"The ISP can investigate computer abuse committed by their employees, but must preserve the privacy of their customers and therefore cannot assist you without a warrant ",The ISP can't conduct any type of investigations on anyone and therefore can't assist you ,ISP's never maintain log files so they would be of no use to your investigation ,,,,"The ISP can investigate computer abuse committed by their employees, but must preserve the privacy of their customers and therefore cannot assist you without a warrant "
Question #126 Topic 1 ,"You are assisting in the investigation of a possible Web Server Hack. The company who called you stated that customers reported to them that whenever they entered the web address of the company in their browser, what they received was a porno graphic web site. The company checked the web server and nothing appears wrong. When you type in the IP address of the web site in your browser everything appears normal. What is the name of the attack that affects the DNS cache of the name resolution servers, resulting in those servers directing users to the wrong web site?",ARP Poisoning ,DNS Poisoning ,HTTP redirect attack ,IP Spoofing ,,,,DNS Poisoning 
Question #127 Topic 1 ,"Analyze the hex representation of mysql-bin.000013 file in the screenshot below. Which of the following will be an inference from this analysis?
",A user with username bad_guy has logged into the WordPress web application ,A WordPress user has been created with the username anonymous_hacker ,An attacker with name anonymous_hacker has replaced a user bad_guy in the WordPress database ,A WordPress user has been created with the username bad_guy ,,,,A WordPress user has been created with the username bad_guy 
Question #128 Topic 1 ,"Law enforcement officers are conducting a legal search for which a valid warrant was obtained.
While conducting the search, officers observe an item of evidence for an unrelated crime that was not included in the warrant. The item was clearly visible to the officers and immediately identified as evidence. What is the term used to describe how this evidence is admissible?",Plain view doctrine ,Corpus delicti ,Locard Exchange Principle ,Ex Parte Order ,,,,Plain view doctrine 
Question #129 Topic 1 ,Microsoft Outlook maintains email messages in a proprietary format in what type of file?,.email ,.mail ,.pst ,.doc ,,,,.pst 
Question #130 Topic 1 ,"The efforts to obtain information before a trail by demanding documents, depositions, questioned and answers written under oath, written requests for admissions of fact and examination of the scene is a description of what legal term?",Detection ,Hearsay ,Spoliation ,Discovery ,,,,Discovery 
Question #131 Topic 1 ,"The rule of thumb when shutting down a system is to pull the power plug. However, it has certain drawbacks. Which of the following would that be?",Any data not yet flushed to the system will be lost ,All running processes will be lost ,The /tmp directory will be flushed ,Power interruption will corrupt the pagefile ,,,,Any data not yet flushed to the system will be lost 
Question #132 Topic 1 ,You are a computer forensics investigator working with local police department and you are called to assist in an investigation of threatening emails. The complainant has printer out 27 email messages from the suspect and gives the printouts to you. You inform her that you will need to examine her computer because you need access to the _________________________ in order to track the emails back to the suspect.,Routing Table ,Firewall log ,Configuration files ,Email Header ,,,,Email Header 
Question #133 Topic 1 ,"Hackers can gain access to Windows Registry and manipulate user passwords, DNS settings, access rights or others features that they may need in order to accomplish their objectives. One simple method for loading an application at startup is to add an entry (Key) to the following Registry Hive:",HKEY_LOCAL_MACHINE\hardware\windows\start ,HKEY_LOCAL_USERS\Software\Microsoft\old\Version\Load ,HKEY_CURRENT_USER\Microsoft\Default ,HKEY_LOCAL_MACHINE\Software\Microsoft\CurrentVersion\Run ,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\CurrentVersion\Run 
Question #134 Topic 1 ,Which of the following file system is used by Mac OS X?,EFS ,HFS+ ,EXT2 ,NFS ,,,,HFS+ 
Question #135 Topic 1 ,"When you are running a vulnerability scan on a network and the IDS cuts off your connection, what type of IDS is being used?",Passive IDS ,Active IDS ,Progressive IDS ,NIPS ,,,,Active IDS 
Question #136 Topic 1 ,"Simon is a former employee of Trinitron XML Inc. He feels he was wrongly terminated and wants to hack into his former company's network. Since Simon remembers some of the server names, he attempts to run the axfr and ixfr commands using DIG. What is Simon trying to accomplish here?",Send DOS commands to crash the DNS servers ,Perform DNS poisoning ,Perform a zone transfer ,Enumerate all the users in the domain ,,,,Perform a zone transfer 
Question #137 Topic 1 ,"What will the following command produce on a website login page? SELECT email, passwd, login_id, full_name FROM members WHERE email =
'someone@somehwere.com'; DROP TABLE members; --'",Deletes the entire members table ,Inserts the Error! Reference source not found.email address into the members table ,Retrieves the password for the first user in the members table ,This command will not produce anything since the syntax is incorrect ,,,,Deletes the entire members table 
Question #139 Topic 1 ,"You are carrying out the last round of testing for your new website before it goes live. The website has many dynamic pages and connects to a SQL backend that accesses your product inventory in a database. You come across a web security site that recommends inputting the following code into a search field on web pages to check for vulnerabilities: When you type this and click on search, you receive a pop-up window that says: ""This is a test.""
What is the result of this test?",Your website is vulnerable to CSS ,Your website is not vulnerable ,Your website is vulnerable to SQL injection ,Your website is vulnerable to web bugs ,,,,Your website is vulnerable to CSS 
Question #140 Topic 1 ,"If an attacker's computer sends an IPID of 31400 to a zombie computer on an open port in IDLE scanning, what will be the response?",The zombie will not send a response ,31402 ,31399 ,31401 ,,,,31401 
Question #141 Topic 1 ,"Michael works for Kimball Construction Company as senior security analyst. As part of yearly security audit, Michael scans his network for vulnerabilities. Using
Nmap, Michael conducts XMAS scan and most of the ports scanned do not give a response. In what state are these ports?",Closed ,Open ,Stealth ,Filtered ,,,,Open 
Question #142 Topic 1 ,You are assisting a Department of Defense contract company to become compliant with the stringent security policies set by the DoD. One such strict rule is that firewalls must only allow incoming connections that were first initiated by internal computers. What type of firewall must you implement to abide by this policy?,Packet filtering firewall ,Circuit-level proxy firewall ,Application-level proxy firewall ,Stateful firewall ,,,,Stateful firewall 
Question #143 Topic 1 ,"Jessica works as systems administrator for a large electronics firm. She wants to scan her network quickly to detect live hosts by using ICMP ECHO Requests.
What type of scan is Jessica going to perform?",Tracert ,Smurf scan ,Ping trace ,ICMP ping sweep ,,,,ICMP ping sweep 
Question #144 Topic 1 ,"You work as an IT security auditor hired by a law firm in Boston to test whether you can gain access to sensitive information about the company clients. You have rummaged through their trash and found very little information. You do not want to set off any alarms on their network, so you plan on performing passive foot printing against their Web servers. What tool should you use?",Ping sweep ,Nmap ,Netcraft ,Dig ,,,,Netcraft 
Question #145 Topic 1 ,"You are a security analyst performing a penetration tests for a company in the Midwest. After some initial reconnaissance, you discover the IP addresses of some
Cisco routers used by the company. You type in the following URL that includes the IP address of one of the routers: http://172.168.4.131/level/99/exec/show/config
After typing in this URL, you are presented with the entire configuration file for that router. What have you discovered?",HTTP Configuration Arbitrary Administrative Access Vulnerability ,HTML Configuration Arbitrary Administrative Access Vulnerability ,Cisco IOS Arbitrary Administrative Access Online Vulnerability ,URL Obfuscation Arbitrary Administrative Access Vulnerability ,,,,HTTP Configuration Arbitrary Administrative Access Vulnerability 
Question #146 Topic 1 ,"What is the following command trying to accomplish?
C:> nmap `""sU `""p445 192.168.0.0/24",Verify that UDP port 445 is open for the 192.168.0.0 network ,Verify that TCP port 445 is open for the 192.168.0.0 network ,Verify that NETBIOS is running for the 192.168.0.0 network ,Verify that UDP port 445 is closed for the 192.168.0.0 network ,,,,Verify that UDP port 445 is open for the 192.168.0.0 network 
Question #147 Topic 1 ,"You are the network administrator for a small bank in Dallas, Texas. To ensure network security, you enact a security policy that requires all users to have 14 character passwords. After giving your users 2 weeks notice, you change the Group Policy to force 14 character passwords. A week later you dump the SAM database from the standalone server and run a password-cracking tool against it. Over 99% of the passwords are broken within an hour. Why were these passwords cracked so Quickly?",Passwords of 14 characters or less are broken up into two 7-character hashes ,A password Group Policy change takes at least 3 weeks to completely replicate throughout a network ,Networks using Active Directory never use SAM databases so the SAM database pulled was empty ,The passwords that were cracked are local accounts on the Domain Controller ,,,,Passwords of 14 characters or less are broken up into two 7-character hashes 
Question #148 Topic 1 ,"An ""idle"" system is also referred to as what?",PC not connected to the Internet ,Zombie ,PC not being used ,Bot ,,,,Zombie 
Question #149 Topic 1 ,"Larry is an IT consultant who works for corporations and government agencies. Larry plans on shutting down the city's network using BGP devices and zombies?
What type of Penetration Testing is Larry planning to carry out?",Router Penetration Testing ,DoS Penetration Testing ,Firewall Penetration Testing ,Internal Penetration Testing ,,,,DoS Penetration Testing 
Question #150 Topic 1 ,John and Hillary works at the same department in the company. John wants to find out Hillary's network password so he can take a look at her documents on the file server. He enables Lophtcrack program to sniffing mode. John sends Hillary an email with a link to Error! Reference source not found. What information will he be able to gather from this?,Hillary network username and password hash ,The SID of Hillary network account ,The SAM file from Hillary computer ,The network shares that Hillary has permissions ,,,,Hillary network username and password hash 
Question #151 Topic 1 ,"Bill is the accounting manager for Grummon and Sons LLC in Chicago. On a regular basis, he needs to send PDF documents containing sensitive information through E-mail to his customers.
Bill protects the PDF documents with a password and sends them to their intended recipients.
Why PDF passwords do not offer maximum protection?",PDF passwords can easily be cracked by software brute force tools ,PDF passwords are converted to clear text when sent through E-mail ,PDF passwords are not considered safe by Sarbanes-Oxley ,"When sent through E-mail, PDF passwords are stripped from the document completely ",,,,PDF passwords can easily be cracked by software brute force tools 
Question #152 Topic 1 ,"Meyer Electronics Systems just recently had a number of laptops stolen out of their office. On these laptops contained sensitive corporate information regarding patents and company strategies. A month after the laptops were stolen, a competing company was found to have just developed products that almost exactly duplicated products that Meyer produces. What could have prevented this information from being stolen from the laptops?",EFS Encryption ,DFS Encryption ,IPS Encryption ,SDW Encryption ,,,,EFS Encryption 
Question #153 Topic 1 ,Kimberly is studying to be an IT security analyst at a vocational school in her town. The school offers many different programming as well as networking languages. What networking protocol language should she learn that routers utilize?,ATM ,UDP ,BPG ,OSPF ,,,,OSPF 
Question #154 Topic 1 ,"What is the target host IP in the following command?
c:\>firewalk -F 80 10.10.150.1 172.16.28.95 -p UDP",172.16.28.95 ,10.10.150.1 ,Firewalk does not scan target hosts ,"This command is using FIN packets, which cannot scan target hosts ",,,,172.16.28.95 
Question #155 Topic 1 ,"George is a senior security analyst working for a state agency in Florida. His state's congress just passed a bill mandating every state agency to undergo a security audit annually. After learning what will be required, George needs to implement an IDS as soon as possible before the first audit occurs. The state bill requires that an IDS with a ""time-based induction machine"" be used.
What IDS feature must George implement to meet this requirement?",Signature-based anomaly detection ,Pattern matching ,Real-time anomaly detection ,Statistical-based anomaly detection ,,,,Real-time anomaly detection 
Question #156 Topic 1 ,"John is using Firewalk to test the security of his Cisco PIX firewall. He is also utilizing a sniffer located on a subnet that resides deep inside his network. After analyzing the sniffer log files, he does not see any of the traffic produced by Firewalk. Why is that?",Firewalk cannot pass through Cisco firewalls ,Firewalk sets all packets with a TTL of zero ,Firewalk cannot be detected by network sniffers ,Firewalk sets all packets with a TTL of one ,,,,Firewalk sets all packets with a TTL of one 
Question #157 Topic 1 ,"After undergoing an external IT audit, George realizes his network is vulnerable to DDoS attacks.
What countermeasures could he take to prevent DDoS attacks?",Enable direct broadcasts ,Disable direct broadcasts ,Disable BGP ,Enable BGP ,,,,Disable direct broadcasts 
Question #158 Topic 1 ,"George is performing security analysis for Hammond and Sons LLC. He is testing security vulnerabilities of their wireless network. He plans on remaining as
""stealthy"" as possible during the scan. Why would a scanner like Nessus is not recommended in this situation?",Nessus is too loud ,Nessus cannot perform wireless testing ,Nessus is not a network scanner ,"There are no ways of performing a ""stealthy"" wireless scan ",,,,Nessus is too loud 
Question #159 Topic 1 ,At what layer of the OSI model do routers function on?,4 ,3 ,1 ,5 ,,,,3 
Question #160 Topic 1 ,"Frank is working on a vulnerability assessment for a company on the West coast. The company hired Frank to assess its network security through scanning, pen tests, and vulnerability assessments. After discovering numerous known vulnerabilities detected by a temporary IDS he set up, he notices a number of items that show up as unknown but Questionable in the logs. He looks up the behavior on the Internet, but cannot find anything related. What organization should Frank submit the log to find out if it is a new vulnerability or not?",APIPA ,IANA ,CVE ,RIPE ,,,,CVE 
Question #161 Topic 1 ,"George is the network administrator of a large Internet company on the west coast. Per corporate policy, none of the employees in the company are allowed to use FTP or SFTP programs without obtaining approval from the IT department. Few managers are using SFTP program on their computers. Before talking to his boss, George wants to have some proof of their activity. George wants to use Ethereal to monitor network traffic, but only SFTP traffic to and from his network.
What filter should George use in Ethereal?",src port 23 and dst port 23 ,udp port 22 and host 172.16.28.1/24 ,net port 22 ,src port 22 and dst port 22 ,,,,src port 22 and dst port 22 
Question #162 Topic 1 ,"Your company uses Cisco routers exclusively throughout the network. After securing the routers to the best of your knowledge, an outside security firm is brought in to assess the network security.
Although they found very few issues, they were able to enumerate the model, OS version, and capabilities for all your Cisco routers with very little effort. Which feature will you disable to eliminate the ability to enumerate this information on your Cisco routers?",Border Gateway Protocol ,Cisco Discovery Protocol ,Broadcast System Protocol ,Simple Network Management Protocol ,,,,Cisco Discovery Protocol 
Question #163 Topic 1 ,"In Linux, what is the smallest possible shellcode?",24 bytes ,8 bytes ,800 bytes ,80 bytes ,,,,24 bytes 
Question #164 Topic 1 ,"Jim performed a vulnerability analysis on his network and found no potential problems. He runs another utility that executes exploits against his system to verify the results of the vulnerability test.
The second utility executes five known exploits against his network in which the vulnerability analysis said were not exploitable. What kind of results did Jim receive from his vulnerability analysis?",False negatives ,False positives ,True negatives ,True positives ,,,,False negatives 
Question #165 Topic 1 ,You work as a penetration tester for Hammond Security Consultants. You are currently working on a contract for the state government of California. Your next step is to initiate a DoS attack on their network. Why would you want to initiate a DoS attack on a system you are testing?,Show outdated equipment so it can be replaced ,List weak points on their network ,Use attack as a launching point to penetrate deeper into the network ,Demonstrate that no system can be protected against DoS attacks ,,,,List weak points on their network 
Question #166 Topic 1 ,Why are Linux/Unix based computers better to use than Windows computers for idle scanning?,Linux/Unix computers are easier to compromise ,Linux/Unix computers are constantly talking ,Windows computers are constantly talking ,Windows computers will not respond to idle scans ,,,,Windows computers are constantly talking 
Question #167 Topic 1 ,What operating system would respond to the following command? c:\> nmap -sW 10.10.145.65,Windows 95 ,FreeBSD ,Windows XP ,Mac OS X ,,,,FreeBSD 
Question #168 Topic 1 ,"Paul's company is in the process of undergoing a complete security audit including logical and physical security testing. After all logical tests were performed; it is now time for the physical round to begin. None of the employees are made aware of this round of testing. The security-auditing firm sends in a technician dressed as an electrician. He waits outside in the lobby for some employees to get to work and follows behind them when they access the restricted areas. After entering the main office, he is able to get into the server room telling the IT manager that there is a problem with the outlets in that room. What type of attack has the technician performed?",Tailgating ,Backtrapping ,Man trap attack ,Fuzzing ,,,,Tailgating 
Question #169 Topic 1 ,"On Linux/Unix based Web servers, what privilege should the daemon service be run under?",Guest ,Root ,You cannot determine what privilege runs the daemon service ,Something other than root ,,,,Something other than root 
Question #170 Topic 1 ,What will the following URL produce in an unpatched IIS Web Server? http://www.thetargetsite.com/scripts/..% co%af../..%co%af../windows/system32/cmd.exe?/c+dir+c:\,Directory listing of C: drive on the web server ,Insert a Trojan horse into the C: drive of the web server ,Execute a buffer flow in the C: drive of the web server ,Directory listing of the C:\windows\system32 folder on the web server ,,,,Directory listing of C: drive on the web server 
Question #171 Topic 1 ,What is kept in the following directory? HKLM\SECURITY\Policy\Secrets,Cached password hashes for the past 20 users ,Service account passwords in plain text ,IAS account names and passwords ,Local store PKI Kerberos certificates ,,,,Service account passwords in plain text 
Question #172 Topic 1 ,Harold is a security analyst who has just run the rdisk /s command to grab the backup SAM files on a computer. Where should Harold navigate on the computer to find the file?,%systemroot%\system32\LSA ,%systemroot%\system32\drivers\etc ,%systemroot%\repair ,%systemroot%\LSA ,,,,%systemroot%\repair 
Question #173 Topic 1 ,You are trying to locate Microsoft Outlook Web Access Default Portal using Google search on the Internet. What search string will you use to locate them?,"allinurl:""exchange/logon.asp"" ","intitle:""exchange server"" ","locate:""logon page"" ","outlook:""search"" ",,,,"allinurl:""exchange/logon.asp"" "
Question #174 Topic 1 ,"When setting up a wireless network with multiple access points, why is it important to set each access point on a different channel?",Multiple access points can be set up on the same channel without any issues ,Avoid over-saturation of wireless signals ,So that the access points will work on different frequencies ,Avoid cross talk ,,,,Avoid cross talk 
Question #175 Topic 1 ,"You are running through a series of tests on your network to check for any security vulnerabilities.
After normal working hours, you initiate a DoS attack against your external firewall. The firewall Quickly freezes up and becomes unusable. You then initiate an
FTP connection from an external IP into your internal network. The connection is successful even though you have FTP blocked at the external firewall. What has happened?",The firewall failed-bypass ,The firewall failed-closed ,The firewall ACL has been purged ,The firewall failed-open ,,,,The firewall failed-open 
Question #176 Topic 1 ,You just passed your ECSA exam and are about to start your first consulting job running security audits for a financial institution in Los Angeles. The IT manager of the company you will be working for tries to see if you remember your ECSA class. He asks about the methodology you will be using to test the company's network. How would you answer?,Microsoft Methodology ,Google Methodology ,IBM Methodology ,LPT Methodology ,,,,LPT Methodology 
Question #177 Topic 1 ,Software firewalls work at which layer of the OSI model?,Application ,Network ,Transport ,Data Link ,,,,Data Link 
Question #178 Topic 1 ,"After passing her CEH exam, Carol wants to ensure that her network is completely secure. She implements a DMZ, stateful firewall, NAT, IPSEC, and a packet filtering firewall. Since all security measures were taken, none of the hosts on her network can reach the Internet. Why is that?",Stateful firewalls do not work with packet filtering firewalls ,NAT does not work with stateful firewalls ,IPSEC does not work with packet filtering firewalls ,NAT does not work with IPSEC ,,,,NAT does not work with IPSEC 
Question #179 Topic 1 ,"Jason has set up a honeypot environment by creating a DMZ that has no physical or logical access to his production network. In this honeypot, he has placed a server running Windows Active Directory. He has also placed a Web server in the DMZ that services a number of web pages that offer visitors a chance to download sensitive information by clicking on a button. A week later, Jason finds in his network logs how an intruder accessed the honeypot and downloaded sensitive information. Jason uses the logs to try and prosecute the intruder for stealing sensitive corporate information. Why will this not be viable?",Entrapment ,Enticement ,Intruding into a honeypot is not illegal ,Intruding into a DMZ is not illegal ,,,,Entrapment 
Question #180 Topic 1 ,"You have compromised a lower-level administrator account on an Active Directory network of a small company in Dallas, Texas. You discover Domain Controllers through enumeration. You connect to one of the Domain Controllers on port 389 using ldp.exe. What are you trying to accomplish here?",Poison the DNS records with false records ,Enumerate MX and A records from DNS ,Establish a remote connection to the Domain Controller ,Enumerate domain user accounts and built-in groups ,,,,Enumerate domain user accounts and built-in groups 
Question #181 Topic 1 ,"What are the security risks of running a ""repair"" installation for Windows XP?",Pressing Shift+F10gives the user administrative rights ,Pressing Shift+F1gives the user administrative rights ,Pressing Ctrl+F10 gives the user administrative rights ,"There are no security risks when running the ""repair"" installation for Windows XP ",,,,Pressing Shift+F10gives the user administrative rights 
Question #182 Topic 1 ,"Terri works for a security consulting firm that is currently performing a penetration test on First National Bank in Tokyo. Terri's duties include bypassing firewalls and switches to gain access to the network. Terri sends an IP packet to one of the company's switches with ACK bit and the source address of her machine set.
What is Terri trying to accomplish by sending this IP packet?",Trick the switch into thinking it already has a session with Terri's computer ,Poison the switch's MAC address table by flooding it with ACK bits ,Crash the switch with a DoS attack since switches cannot send ACK bits ,Enable tunneling feature on the switch ,,,,Trick the switch into thinking it already has a session with Terri's computer 
Question #183 Topic 1 ,"You are a security analyst performing reconnaissance on a company you will be carrying out a penetration test for. You conduct a search for IT jobs on Dice.com and find the following information for an open position: 7+ years experience in Windows Server environment 5+ years experience in Exchange 2000/2003 environment Experience with Cisco Pix Firewall, Linksys 1376 router, Oracle 11i and MYOB v3.4 Accounting software are required MCSA desired, MCSE, CEH preferred No Unix/Linux Experience needed What is this information posted on the job website considered?",Social engineering exploit ,Competitive exploit ,Information vulnerability ,Trade secret ,,,,Information vulnerability 
Question #184 Topic 1 ,The objective of this act was to protect consumers' personal financial information held by financial institutions and their service providers.,Gramm-Leach-Bliley Act ,Sarbanes-Oxley 2002 ,California SB 1386 ,HIPAA ,,,,Gramm-Leach-Bliley Act 
Question #185 Topic 1 ,Why is it a good idea to perform a penetration test from the inside?,It is never a good idea to perform a penetration test from the inside ,Because 70% of attacks are from inside the organization ,To attack a network from a hacker's perspective ,It is easier to hack from the inside ,,,,Because 70% of attacks are from inside the organization 
Question #186 Topic 1 ,"Harold is a web designer who has completed a website for ghttech.net. As part of the maintenance agreement he signed with the client, Harold is performing research online and seeing how much exposure the site has received so far. Harold navigates to google.com and types in the following search. link:www.ghttech.net What will this search produce?",All sites that ghttech.net links to ,All sites that link to ghttech.net ,All search engines that link to .net domains ,Sites that contain the code: link:www.ghttech.net ,,,,All sites that link to ghttech.net 
Question #187 Topic 1 ,"Jonathan is a network administrator who is currently testing the internal security of his network. He is attempting to hijack a session, using Ettercap, of a user connected to his Web server. Why will Jonathan not succeed?",Only an HTTPS session can be hijacked ,HTTP protocol does not maintain session ,Only FTP traffic can be hijacked ,Only DNS traffic can be hijacked ,,,,HTTP protocol does not maintain session 
Question #188 Topic 1 ,"A packet is sent to a router that does not have the packet destination address in its route table.
How will the packet get to its proper destination?",Root Internet servers ,Border Gateway Protocol ,Gateway of last resort ,Reverse DNS ,,,,Gateway of last resort 
Question #189 Topic 1 ,James is testing the ability of his routers to withstand DoS attacks. James sends ICMP ECHO requests to the broadcast address of his network. What type of DoS attack is James testing against his network?,Smurf ,Trinoo ,Fraggle ,SYN flood ,,,,Smurf 
Question #190 Topic 1 ,"Kyle is performing the final testing of an application he developed for the accounting department.
His last round of testing is to ensure that the program is as secure as possible. Kyle runs the following command. What is he testing at this point?
#include #include int main(int argc, char
*argv[]) { char buffer[10]; if (argc < 2) { fprintf (stderr, ""USAGE: %s string\n"", argv[0]); return 1; } strcpy(buffer, argv[1]); return 0; }",Buffer overflow ,SQL injection ,Format string bug ,Kernal injection ,,,,Buffer overflow 
Question #191 Topic 1 ,"You are running known exploits against your network to test for possible vulnerabilities. To test the strength of your virus software, you load a test network to mimic your production network. Your software successfully blocks some simple macro and encrypted viruses. You decide to really test the software by using virus code where the code rewrites itself entirely and the signatures change from child to child, but the functionality stays the same. What type of virus is this that you are testing?",Polymorphic ,Metamorphic ,Oligomorhic ,Transmorphic ,,,,Metamorphic 
Question #192 Topic 1 ,"What is a good security method to prevent unauthorized users from ""tailgating""?",Man trap ,Electronic combination locks ,Pick-resistant locks ,Electronic key systems ,,,,Man trap 
Question #193 Topic 1 ,"You are the security analyst working for a private company out of France. Your current assignment is to obtain credit card information from a Swiss bank owned by that company. After initial reconnaissance, you discover that the bank security defenses are very strong and would take too long to penetrate. You decide to get the information by monitoring the traffic between the bank and one of its subsidiaries in London. After monitoring some of the traffic, you see a lot of FTP packets traveling back and forth. You want to sniff the traffic and extract usernames and passwords. What tool could you use to get this information?",Airsnort ,Snort ,Ettercap ,RaidSniff ,,,,Ettercap 
Question #194 Topic 1 ,"As a security analyst, you setup a false survey website that will require users to create a username and a strong password. You send the link to all the employees of the company. What information will you be able to gather?",The IP address of the employees' computers ,Bank account numbers and the corresponding routing numbers ,The employees network usernames and passwords ,The MAC address of the employees' computers ,,,,The employees network usernames and passwords 
Question #195 Topic 1 ,"Julia is a senior security analyst for Berber Consulting group. She is currently working on a contract for a small accounting firm in Florid a. They have given her permission to perform social engineering attacks on the company to see if their in-house training did any good. Julia calls the main number for the accounting firm and talks to the receptionist. Julia says that she is an IT technician from the company's main office in Iowa. She states that she needs the receptionist's network username and password to troubleshoot a problem they are having. Julia says that Bill Hammond, the CEO of the company, requested this information. After hearing the name of the CEO, the receptionist gave Julia all the information she asked for. What principal of social engineering did Julia use?",Social Validation ,Scarcity ,Friendship/Liking ,Reciprocation ,,,,Reciprocation 
Question #196 Topic 1 ,"Harold wants to set up a firewall on his network but is not sure which one would be the most appropriate. He knows he needs to allow FTP traffic to one of the servers on his network, but he wants to only allow FTP-PUT. Which firewall would be most appropriate for Harold? needs?",Circuit-level proxy firewall ,Packet filtering firewall ,Application-level proxy firewall ,Data link layer firewall ,,,,Application-level proxy firewall 
Question #197 Topic 1 ,"What will the following command accomplish?
C:\ nmap -v -sS -Po <ip> -data_length 6600 0-packet_trace",Test ability of a router to handle over-sized packets ,Test the ability of a router to handle under-sized packets ,Test the ability of a WLAN to handle fragmented packets ,Test the ability of a router to handle fragmented packets ,,,,Test ability of a router to handle over-sized packets 
Question #198 Topic 1 ,What does ICMP Type 3/Code 13 mean?,Host Unreachable ,Administratively Blocked ,Port Unreachable ,Protocol Unreachable ,,,,Administratively Blocked 
Question #199 Topic 1 ,How many bits is Source Port Number in TCP Header packet?,16 ,32 ,48 ,64 ,,,,16 
Question #200 Topic 1 ,"After passively scanning the network of Department of Defense (DoD), you switch over to active scanning to identify live hosts on their network. DoD is a large organization and should respond to any number of scans. You start an ICMP ping sweep by sending an IP packet to the broadcast address. Only five hosts respond to your ICMP pings; definitely not the number of hosts you were expecting. Why did this ping sweep only produce a few responses?",Only IBM AS/400 will reply to this scan ,Only Windows systems will reply to this scan ,A switched network will not respond to packets sent to the broadcast address ,Only Unix and Unix-like systems will reply to this scan ,,,,Only Unix and Unix-like systems will reply to this scan 
Question #201 Topic 1 ,"Your company's network just finished going through a SAS 70 audit. This audit reported that overall, your network is secure, but there are some areas that needs improvement. The major area was SNMP security. The audit company recommended turning off SNMP, but that is not an option since you have so many remote nodes to keep track of. What step could you take to help secure SNMP on your network?",Block all internal MAC address from using SNMP ,Block access to UDP port 171 ,Block access to TCP port 171 ,Change the default community string names ,,,,Change the default community string names 
